FIPS,State_Abbreviation,State,County_Name,County_Rate,County_Cases
1001,AL,Alabama,Autauga County,219,101
1003,AL,Alabama,Baldwin County,167,292
1005,AL,Alabama,Barbour County,421,92
1007,AL,Alabama,Bibb County,197,38
1009,AL,Alabama,Blount County,100,48
1011,AL,Alabama,Bullock County,633,56
1013,AL,Alabama,Butler County,311,52
1015,AL,Alabama,Calhoun County,226,220
1017,AL,Alabama,Chambers County,388,111
1019,AL,Alabama,Cherokee County,117,26
1021,AL,Alabama,Chilton County,110,40
1023,AL,Alabama,Choctaw County,232,26
1025,AL,Alabama,Clarke County,160,33
1027,AL,Alabama,Clay County,174,20
1029,AL,Alabama,Cleburne County,120,15
1031,AL,Alabama,Coffee County,153,65
1033,AL,Alabama,Colbert County,100,46
1035,AL,Alabama,Conecuh County,310,33
1037,AL,Alabama,Coosa County,147,14
1039,AL,Alabama,Covington Count,156,49
1041,AL,Alabama,Crenshaw County,224,26
1043,AL,Alabama,Cullman County,78,54
1045,AL,Alabama,Dale County,244,100
1047,AL,Alabama,Dallas County,422,140
1049,AL,Alabama,DeKalb County,88,52
1051,AL,Alabama,Elmore County,222,152
1053,AL,Alabama,Escambia County,222,70
1055,AL,Alabama,Etowah County,187,163
1057,AL,Alabama,Fayette County,100,14
1059,AL,Alabama,Franklin County,54,14
1061,AL,Alabama,Geneva County,152,34
1063,AL,Alabama,Greene County,379,27
1065,AL,Alabama,Hale County,436,54
1067,AL,Alabama,Henry County,212,31
1069,AL,Alabama,Houston County,367,319
1071,AL,Alabama,Jackson County,74,33
1073,AL,Alabama,Jefferson Count,621,3414
1075,AL,Alabama,Lamar County,135,16
1077,AL,Alabama,Lauderdale Coun,92,73
1079,AL,Alabama,Lawrence County,82,23
1081,AL,Alabama,Lee County,198,266
1083,AL,Alabama,Limestone Count,130,101
1085,AL,Alabama,Lowndes County,606,52
1087,AL,Alabama,Macon County,497,83
1089,AL,Alabama,Madison County,237,711
1091,AL,Alabama,Marengo County,196,32
1093,AL,Alabama,Marion County,114,29
1095,AL,Alabama,Marshall County,115,90
1097,AL,Alabama,Mobile County,511,1759
1099,AL,Alabama,Monroe County,214,39
1101,AL,Alabama,Montgomery Coun,750,1407
1103,AL,Alabama,Morgan County,141,140
1105,AL,Alabama,Perry County,272,22
1107,AL,Alabama,Pickens County,281,49
1109,AL,Alabama,Pike County,357,102
1111,AL,Alabama,Randolph County,58,11
1113,AL,Alabama,Russell County,417,198
1115,AL,Alabama,St. Clair Count,142,104
1117,AL,Alabama,Shelby County,155,273
1119,AL,Alabama,Sumter County,323,36
1121,AL,Alabama,Talladega Count,268,183
1123,AL,Alabama,Tallapoosa Coun,188,65
1125,AL,Alabama,Tuscaloosa Coun,247,432
1127,AL,Alabama,Walker County,144,78
1129,AL,Alabama,Washington Coun,85,12
1131,AL,Alabama,Wilcox County,275,25
1133,AL,Alabama,Winston County,54,11
2013,AK,Alaska,Aleutians East,0,0
2016,AK,Alaska,Aleutians West,0,0
2020,AK,Alaska,Anchorage Munic,0,0
2050,AK,Alaska,Bethel Census A,0,0
2060,AK,Alaska,Bristol Bay Bor,0,0
2068,AK,Alaska,Denali Borough,0,0
2070,AK,Alaska,Dillingham Cens,0,0
2090,AK,Alaska,Fairbanks North,0,0
2100,AK,Alaska,Haines Borough,0,0
2105,AK,Alaska,Hoonah-Angoon C,0,0
2110,AK,Alaska,Juneau City and,0,0
2122,AK,Alaska,Kenai Peninsula,0,0
2130,AK,Alaska,Ketchikan Gatew,0,0
2150,AK,Alaska,Kodiak Island B,0,0
2164,AK,Alaska,Lake and Penins,0,0
2170,AK,Alaska,Matanuska-Susit,0,0
2180,AK,Alaska,Nome Census Are,0,0
2185,AK,Alaska,North Slope Bor,0,0
2188,AK,Alaska,Northwest Arcti,0,0
2195,AK,Alaska,Petersburg Boro,0,0
2198,AK,Alaska,Prince of Wales,0,0
2220,AK,Alaska,Sitka City and,0,0
2230,AK,Alaska,Skagway Municip,0,0
2240,AK,Alaska,Southeast Fairb,0,0
2261,AK,Alaska,Valdez-Cordova,0,0
2275,AK,Alaska,Wrangell City a,0,0
2282,AK,Alaska,Yakutat City an,0,0
2290,AK,Alaska,Yukon-Koyukuk C,0,0
4001,AZ,Arizona,Apache County,194,111
4003,AZ,Arizona,Cochise County,187,197
4005,AZ,Arizona,Coconino County,114,135
4007,AZ,Arizona,Gila County,95,43
4009,AZ,Arizona,Graham County,73,22
4011,AZ,Arizona,Greenlee County,78,6
4012,AZ,Arizona,La Paz County,145,26
4013,AZ,Arizona,Maricopa County,309,10776
4015,AZ,Arizona,Mohave County,130,234
4017,AZ,Arizona,Navajo County,151,131
4019,AZ,Arizona,Pima County,281,2411
4021,AZ,Arizona,Pinal County,254,875
4023,AZ,Arizona,Santa Cruz Coun,132,49
4025,AZ,Arizona,Yavapai County,126,250
4027,AZ,Arizona,Yuma County,154,258
5001,AR,Arkansas,Arkansas County,230,35
5003,AR,Arkansas,Ashley County,105,18
5005,AR,Arkansas,Baxter County,92,33
5007,AR,Arkansas,Benton County,122,254
5009,AR,Arkansas,Boone County,67,21
5011,AR,Arkansas,Bradley County,110,10
5013,AR,Arkansas,Calhoun County,156,7
5015,AR,Arkansas,Carroll County,260,61
5017,AR,Arkansas,Chicot County,384,35
5019,AR,Arkansas,Clark County,155,30
5021,AR,Arkansas,Clay County,71,9
5023,AR,Arkansas,Cleburne County,101,22
5025,AR,Arkansas,Cleveland Count,129,9
5027,AR,Arkansas,Columbia County,157,32
5029,AR,Arkansas,Conway County,160,28
5031,AR,Arkansas,Craighead Count,169,146
5033,AR,Arkansas,Crawford County,105,54
5035,AR,Arkansas,Crittenden Coun,522,206
5037,AR,Arkansas,Cross County,170,24
5039,AR,Arkansas,Dallas County,0,0
5041,AR,Arkansas,Desha County,175,17
5043,AR,Arkansas,Drew County,140,22
5045,AR,Arkansas,Faulkner County,144,146
5047,AR,Arkansas,Franklin County,101,15
5049,AR,Arkansas,Fulton County,97,10
5051,AR,Arkansas,Garland County,231,194
5053,AR,Arkansas,Grant County,138,21
5055,AR,Arkansas,Greene County,103,38
5057,AR,Arkansas,Hempstead Count,134,24
5059,AR,Arkansas,Hot Spring Coun,241,69
5061,AR,Arkansas,Howard County,110,12
5063,AR,Arkansas,Independence Co,117,36
5065,AR,Arkansas,Izard County,119,14
5067,AR,Arkansas,Jackson County,263,39
5069,AR,Arkansas,Jefferson Count,477,282
5071,AR,Arkansas,Johnson County,60,13
5073,AR,Arkansas,Lafayette Count,100,6
5075,AR,Arkansas,Lawrence County,50,7
5077,AR,Arkansas,Lee County,617,50
5079,AR,Arkansas,Lincoln County,339,41
5081,AR,Arkansas,Little River Co,210,22
5083,AR,Arkansas,Logan County,65,12
5085,AR,Arkansas,Lonoke County,98,57
5087,AR,Arkansas,Madison County,104,14
5089,AR,Arkansas,Marion County,105,15
5091,AR,Arkansas,Miller County,295,107
5093,AR,Arkansas,Mississippi Cou,204,71
5095,AR,Arkansas,Monroe County,261,16
5097,AR,Arkansas,Montgomery Coun,90,7
5099,AR,Arkansas,Nevada County,114,8
5101,AR,Arkansas,Newton County,88,6
5103,AR,Arkansas,Ouachita County,254,51
5105,AR,Arkansas,Perry County,104,9
5107,AR,Arkansas,Phillips County,310,48
5109,AR,Arkansas,Pike County,66,6
5111,AR,Arkansas,Poinsett County,111,22
5113,AR,Arkansas,Polk County,65,11
5115,AR,Arkansas,Pope County,100,53
5117,AR,Arkansas,Prairie County,184,13
5119,AR,Arkansas,Pulaski County,564,1838
5121,AR,Arkansas,Randolph County,62,9
5123,AR,Arkansas,St. Francis Cou,320,71
5125,AR,Arkansas,Saline County,84,82
5127,AR,Arkansas,Scott County,0,0
5129,AR,Arkansas,Searcy County,0,0
5131,AR,Arkansas,Sebastian Count,198,209
5133,AR,Arkansas,Sevier County,89,12
5135,AR,Arkansas,Sharp County,69,10
5137,AR,Arkansas,Stone County,65,7
5139,AR,Arkansas,Union County,353,116
5141,AR,Arkansas,Van Buren Count,0,0
5143,AR,Arkansas,Washington Coun,171,318
5145,AR,Arkansas,White County,110,72
5147,AR,Arkansas,Woodruff County,142,8
5149,AR,Arkansas,Yell County,124,22
6001,CA,California,Alameda County,408,5713
6003,CA,California,Alpine County,0,0
6005,CA,California,Amador County,567,189
6007,CA,California,Butte County,125,242
6009,CA,California,Calaveras Count,100,40
6011,CA,California,Colusa County,35,6
6013,CA,California,Contra Costa Co,256,2443
6015,CA,California,Del Norte Count,95,22
6017,CA,California,El Dorado Count,117,187
6019,CA,California,Fresno County,233,1806
6021,CA,California,Glenn County,75,17
6023,CA,California,Humboldt County,176,206
6025,CA,California,Imperial County,199,284
6027,CA,California,Inyo County,163,25
6029,CA,California,Kern County,213,1482
6031,CA,California,Kings County,132,158
6033,CA,California,Lake County,267,145
6035,CA,California,Lassen County,85,23
6037,CA,California,Los Angeles Cou,565,48220
6039,CA,California,Madera County,141,175
6041,CA,California,Marin County,355,797
6043,CA,California,Mariposa County,136,21
6045,CA,California,Mendocino Count,227,168
6047,CA,California,Merced County,121,256
6049,CA,California,Modoc County,0,0
6051,CA,California,Mono County,49,6
6053,CA,California,Monterey County,192,676
6055,CA,California,Napa County,227,274
6057,CA,California,Nevada County,117,102
6059,CA,California,Orange County,247,6587
